Name,Site,Date,Image,Snapshot
Alessandra,Dreams-HD,2014-04-22,https://web.archive.org/web/20140425155532im_/http://dreams-hd.com/img/prew_add/073/mega.jpg,https://web.archive.org/web/20140425155532/http://teencoreclub.com/
Alessandra,Dreams-HD,2014-05-04,https://web.archive.org/web/20140511062905im_/http://dreams-hd.com/img/prew_add/074/mega.jpg,https://web.archive.org/web/20140511062905/http://teencoreclub.com/
Alessandra,Dreams-HD,2014-06-11,https://web.archive.org/web/20140624090341im_/http://dreams-hd.com/img/prew_add/116/mega.jpg,https://web.archive.org/web/20140624090341/http://teencoreclub.com/
Alessandra,Dreams-HD,2014-06-24,https://web.archive.org/web/20140625040026im_/http://dreams-hd.com/img/prew_add/124/mega.jpg,https://web.archive.org/web/20140625040026/http://teencoreclub.com/
Alessandra,Dreams-HD,2014-07-22,https://web.archive.org/web/20140730233230im_/http://dreams-hd.com/img/prew_add/142/mega.jpg,https://web.archive.org/web/20140730233230/http://teencoreclub.com/
Alessandra,Dreams-HD,2014-10-14,https://web.archive.org/web/20141024071738im_/http://dreams-hd.com/img/prew_add/184/mega.jpg,https://web.archive.org/web/20141024071738/http://teencoreclub.com/
Alex Little,Brutal Invasion,2014-04-03,https://web.archive.org/web/20140403225935im_/http://brutalinvasion.com/img/prew_add/014/mega.jpg,https://web.archive.org/web/20140403225935/http://teencoreclub.com/
Alexa,Ass Teen Mouth,2009-06-06,https://web.archive.org/web/20090612062838im_/http://assteenmouth.com/img/prew_add/051/mega.jpg,https://web.archive.org/web/20090612062838/http://teencoreclub.com/
Alexa,Hardcore Youth,2011-02-16,https://web.archive.org/web/20110220005704im_/http://hardcoreyouth.com/img/prew_add/048/mega.jpg,https://web.archive.org/web/20110220005704/http://teencoreclub.com/
Alexa,Try Teens,2009-06-17,https://web.archive.org/web/20090619212154im_/http://tryteens.com/img/prew_add/0144/mega.jpg,https://web.archive.org/web/20090619212154/http://teencoreclub.com/
Alexis Crash,Hardcore Youth,2014-05-05,https://web.archive.org/web/20140511062905im_/http://hardcoreyouth.com/img/prew_add/180/mega.jpg,https://web.archive.org/web/20140511062905/http://teencoreclub.com/
Alia,Bang Teen Pussy,2013-05-03,https://web.archive.org/web/20130622000259im_/http://bangteenpussy.com/img/prew_add/015/mega.jpg,https://web.archive.org/web/20130622000259/http://teencoreclub.com/
Alise,Fab Sluts,2014-12-11,https://web.archive.org/web/20141218084858im_/http://fabsluts.com/img/prew_add/203/mega.jpg,https://web.archive.org/web/20141218084858/http://teencoreclub.com/
Alisha,Try Teens,2011-03-22,https://web.archive.org/web/20110406002902im_/http://tryteens.com/img/prew_add/178/mega.jpg,https://web.archive.org/web/20110406002902/http://teencoreclub.com/
Alisha,Try Teens,2011-03-23,https://web.archive.org/web/20110324004056im_/http://tryteens.com/img/prew_add/178/comingsoon.jpg,https://web.archive.org/web/20110324004056/http://teencoreclub.com/index3.php
Alisha,Young Throats,2011-02-16,https://web.archive.org/web/20110220005704im_/http://youngthroats.com/img/prew_add/160/mega.jpg,https://web.archive.org/web/20110220005704/http://teencoreclub.com/
Alisha,Young Throats,2011-02-03,https://web.archive.org/web/20110204062147im_/http://youngthroats.com/img/prew_add/160/comingsoon.jpg,https://web.archive.org/web/20110204062147/http://teencoreclub.com/index3.php
Alissa,Girls Got Cream,2009-06-25,https://web.archive.org/web/20090627194614im_/http://girlsgotcream.com/img/prew_add/0165/mega.jpg,https://web.archive.org/web/20090627194614/http://teencoreclub.com/
Allie,Cumaholic Teens,2009-12-23,https://web.archive.org/web/20091223190959im_/http://cumaholicteens.com/img/prew_add/018/mega.jpg,https://web.archive.org/web/20091223190959/http://teencoreclub.com/
Allie,Teach My Ass,2009-01-29,https://web.archive.org/web/20090330015443im_/http://teachmyass.com/img/prew_add/046/mega.jpg,https://web.archive.org/web/20090330015443/http://teencoreclub.com/
Ally,Hardcore Youth,2010-08-18,https://web.archive.org/web/20100822235955im_/http://hardcoreyouth.com/img/prew_add/043/mega.jpg,https://web.archive.org/web/20100822235955/http://teencoreclub.com/
Allysin,Ass Teen Mouth,2009-07-04,https://web.archive.org/web/20090708040459im_/http://assteenmouth.com/img/prew_add/050/mega.jpg,https://web.archive.org/web/20090708040459/http://teencoreclub.com/
Allysin,Make Teen Gape,2010-05-04,https://web.archive.org/web/20100505195925im_/http://maketeengape.com/img/prew_add/029/mega.jpg,https://web.archive.org/web/20100505195925/http://teencoreclub.com/
Alyssa,Ass Teen Mouth,2011-05-06,https://web.archive.org/web/20110507082838im_/http://assteenmouth.com/img/prew_add/104/mega.jpg,https://web.archive.org/web/20110507082838/http://teencoreclub.com/
Alyssa,Double Teamed Teens,2011-06-07,https://web.archive.org/web/20110613161433im_/http://doubleteamedteens.com/img/prew_add/073/mega.jpg,https://web.archive.org/web/20110613161433/http://teencoreclub.com/
Alyssa,Hardcore Youth,2012-05-23,https://web.archive.org/web/20120526050516im_/http://hardcoreyouth.com/img/prew_add/097/mega.jpg,https://web.archive.org/web/20120526050516/http://teencoreclub.com/
Amber,Hardcore Youth,2011-03-03,https://web.archive.org/web/20110311194744im_/http://hardcoreyouth.com/img/prew_add/050/mega.jpg,https://web.archive.org/web/20110311194744/http://teencoreclub.com/
Amber Nova,Fab Sluts,2014-12-13,https://web.archive.org/web/20141218084858im_/http://fabsluts.com/img/prew_add/209/mega.jpg,https://web.archive.org/web/20141218084858/http://teencoreclub.com/
Amy,Teen Drillers,2013-08-02,https://web.archive.org/web/20131009150520im_/http://teendrillers.com/img/prew_add/009/mega.jpg,https://web.archive.org/web/20131009150520/http://teencoreclub.com/
Andi,Ass Teen Mouth,2010-03-17,https://web.archive.org/web/20100323150445im_/http://assteenmouth.com/img/prew_add/072/mega.jpg,https://web.archive.org/web/20100323150445/http://teencoreclub.com/
Andi,Double Teamed Teens,2010-04-05,https://web.archive.org/web/20100410031356im_/http://doubleteamedteens.com/img/prew_add/051/mega.jpg,https://web.archive.org/web/20100410031356/http://teencoreclub.com/
Andrea,Fab Sluts,2014-12-04,https://web.archive.org/web/20141209213633im_/http://fabsluts.com/img/prew_add/185/mega.jpg,https://web.archive.org/web/20141209213633/http://teencoreclub.com/
Andrea,Hardcore Youth,2011-07-01,https://web.archive.org/web/20110705070721im_/http://hardcoreyouth.com/img/prew_add/064/mega.jpg,https://web.archive.org/web/20110705070721/http://teencoreclub.com/
Andrea,Hardcore Youth,2011-08-24,https://web.archive.org/web/20110902044645im_/http://hardcoreyouth.com/img/prew_add/066/mega.jpg,https://web.archive.org/web/20110902044645/http://teencoreclub.com/
Andrea,Try Teens,2010-09-16,https://web.archive.org/web/20100922062502im_/http://tryteens.com/img/prew_add/166/mega.jpg,https://web.archive.org/web/20100922062502/http://teencoreclub.com/
Angela,Ass Teen Mouth,2010-06-15,https://web.archive.org/web/20100622024712im_/http://assteenmouth.com/img/prew_add/077/mega.jpg,https://web.archive.org/web/20100622024712/http://teencoreclub.com/
Angela,Double Teamed Teens,2010-06-23,https://web.archive.org/web/20100624084757im_/http://doubleteamedteens.com/img/prew_add/054/mega.jpg,https://web.archive.org/web/20100624084757/http://teencoreclub.com/
Angela,Try Teens,2010-06-03,https://web.archive.org/web/20100604000728im_/http://tryteens.com/img/prew_add/161/mega.jpg,https://web.archive.org/web/20100604000728/http://teencoreclub.com/
Angela,Try Teens,2010-06-02,https://web.archive.org/web/20100613163501im_/http://tryteens.com/img/prew_add/161/mega.jpg,https://web.archive.org/web/20100613163501/http://teencoreclub.com/
Angela,White Teens Black Cocks,2010-06-11,https://web.archive.org/web/20100613163501im_/http://whiteteensblackcocks.com/img/prew_add/120/mega.jpg,https://web.archive.org/web/20100613163501/http://teencoreclub.com/
Angeline,Hardcore Youth,2011-01-28,https://web.archive.org/web/20110129080616im_/http://hardcoreyouth.com/img/prew_add/045/mega.jpg,https://web.archive.org/web/20110129080616/http://teencoreclub.com/
Angeline,Nylon Sweeties,2013-07-18,https://web.archive.org/web/20130718234104im_/http://nylonsweeties.com/img/prew_add/014/mega.jpg,https://web.archive.org/web/20130718234104/http://teencoreclub.com/
Anisiya,Hardcore Youth,2011-11-16,https://web.archive.org/web/20111120143141im_/http://hardcoreyouth.com/img/prew_add/081/mega.jpg,https://web.archive.org/web/20111120143141/http://teencoreclub.com/
Anita,Nylon Sweeties,2013-06-11,https://web.archive.org/web/20130718234104im_/http://nylonsweeties.com/img/prew_add/011/mega.jpg,https://web.archive.org/web/20130718234104/http://teencoreclub.com/
Anita,Spermantino,2009-02-27,https://web.archive.org/web/20090304005423im_/http://spermantino.com/img/prew_add/001/mega.jpg,https://web.archive.org/web/20090304005423/http://teencoreclub.com/
Anita,Teen Drillers,2013-12-31,https://web.archive.org/web/20140105222853im_/http://teendrillers.com/img/prew_add/023/mega.jpg,https://web.archive.org/web/20140105222853/http://teencoreclub.com/
Anita,Teens Try Blacks,2013-09-26,https://web.archive.org/web/20131009150520im_/http://teenstryblacks.com/img/prew_add/029/mega.jpg,https://web.archive.org/web/20131009150520/http://teencoreclub.com/
Anna,Try Teens,2009-05-06,https://web.archive.org/web/20090511073059im_/http://tryteens.com/img/prew_add/0142/mega.jpg,https://web.archive.org/web/20090511073059/http://teencoreclub.com/
Anna,Young Throats,2009-05-02,https://web.archive.org/web/20090511073059im_/http://youngthroats.com/img/prew_add/0124/mega.jpg,https://web.archive.org/web/20090511073059/http://teencoreclub.com/
Anna T,Brutal Invasion,2014-08-13,https://web.archive.org/web/20140813202451im_/http://brutalinvasion.com/img/prew_add/018/mega.jpg,https://web.archive.org/web/20140813202451/http://teencoreclub.com/
Anna T,Defiled 18,2014-10-22,https://web.archive.org/web/20141024071738im_/http://defiled18.com/img/prew_add/019/mega.jpg,https://web.archive.org/web/20141024071738/http://teencoreclub.com/
Anna T,Try Teens,2014-08-20,https://web.archive.org/web/20140820190842im_/http://tryteens.com/img/prew_add/227/mega.jpg,https://web.archive.org/web/20140820190842/http://teencoreclub.com/
April,Analyzed Girls,2010-12-09,https://web.archive.org/web/20101216232348im_/http://analyzedgirls.com/img/prew_add/018/mega.jpg,https://web.archive.org/web/20101216232348/http://teencoreclub.com/
April,Hardcore Youth,2011-03-29,https://web.archive.org/web/20110406002902im_/http://hardcoreyouth.com/img/prew_add/054/mega.jpg,https://web.archive.org/web/20110406002902/http://teencoreclub.com/
April,Young Throats,2010-08-05,https://web.archive.org/web/20100812024151im_/http://youngthroats.com/img/prew_add/147/mega.jpg,https://web.archive.org/web/20100812024151/http://teencoreclub.com/
Arian,Brutal Invasion,2014-12-10,https://web.archive.org/web/20141211105443im_/http://brutalinvasion.com/img/prew_add/026/mega.jpg,https://web.archive.org/web/20141211105443/http://teencoreclub.com/
Arian,Defiled 18,2014-12-16,https://web.archive.org/web/20141218084858im_/http://defiled18.com/img/prew_add/020/mega.jpg,https://web.archive.org/web/20141218084858/http://teencoreclub.com/
Arian,Try Teens,2013-12-24,https://web.archive.org/web/20131231145856im_/http://tryteens.com/img/prew_add/216/mega.jpg,https://web.archive.org/web/20131231145856/http://teencoreclub.com/
Ariana,Hardcore Youth,2011-02-02,https://web.archive.org/web/20110211053022im_/http://hardcoreyouth.com/img/prew_add/046/mega.jpg,https://web.archive.org/web/20110211053022/http://teencoreclub.com/
Ariel,Fab Sluts,2014-12-19,https://web.archive.org/web/20141225045130im_/http://fabsluts.com/img/prew_add/219/mega.jpg,https://web.archive.org/web/20141225045130/http://teencoreclub.com/
Ashley Woods,Brutal Invasion,2014-10-28,https://web.archive.org/web/20141029075211im_/http://brutalinvasion.com/img/prew_add/022/mega.jpg,https://web.archive.org/web/20141029075211/http://teencoreclub.com/
Ashley Woods,Defiled 18,2014-12-24,https://web.archive.org/web/20141225045130im_/http://defiled18.com/img/prew_add/023/mega.jpg,https://web.archive.org/web/20141225045130/http://teencoreclub.com/
Ashley Woods,Teen Anal Casting,2014-10-25,https://web.archive.org/web/20141029075211im_/http://teenanalcasting.com/img/prew_add/023/mega.jpg,https://web.archive.org/web/20141029075211/http://teencoreclub.com/
Ashton,Girls Got Cream,2010-05-20,https://web.archive.org/web/20100523223817im_/http://girlsgotcream.com/img/prew_add/187/mega.jpg,https://web.archive.org/web/20100523223817/http://teencoreclub.com/
Aspen,Cumaholic Teens,2010-01-06,https://web.archive.org/web/20100111141435im_/http://cumaholicteens.com/img/prew_add/005/mega.jpg,https://web.archive.org/web/20100111141435/http://teencoreclub.com/
Aspen,Double Teamed Teens,2009-02-27,https://web.archive.org/web/20090304005423im_/http://doubleteamedteens.com/img/prew_add/021/mega.jpg,https://web.archive.org/web/20090304005423/http://teencoreclub.com/
Aspen,Make Teen Gape,2009-12-01,https://web.archive.org/web/20091213212219im_/http://maketeengape.com/img/prew_add/024/mega.jpg,https://web.archive.org/web/20091213212219/http://teencoreclub.com/
Asti,Teen Anal Casting,2012-08-22,https://web.archive.org/web/20120831112609im_/http://teenanalcasting.com/img/prew_add/012/mega.jpg,https://web.archive.org/web/20120831112609/http://teencoreclub.com/
Autumn,Make Teen Gape,2009-12-01,https://web.archive.org/web/20091213212219im_/http://maketeengape.com/img/prew_add/022/mega.jpg,https://web.archive.org/web/20091213212219/http://teencoreclub.com/
Ava,Double Teamed Teens,2010-12-15,https://web.archive.org/web/20101216232348im_/http://doubleteamedteens.com/img/prew_add/063/mega.jpg,https://web.archive.org/web/20101216232348/http://teencoreclub.com/
Avery,Defiled 18,2011-11-01,https://web.archive.org/web/20111109022340im_/http://defiled18.com/img/prew_add/012/mega.jpg,https://web.archive.org/web/20111109022340/http://teencoreclub.com/
Avery,Hardcore Youth,2012-09-07,https://web.archive.org/web/20120916215141im_/http://hardcoreyouth.com/img/prew_add/124/mega.jpg,https://web.archive.org/web/20120916215141/http://teencoreclub.com/
Avery,Hardcore Youth,2013-05-07,https://web.archive.org/web/20130513055559im_/http://hardcoreyouth.com/img/prew_add/139/mega.jpg,https://web.archive.org/web/20130513055559/http://teencoreclub.com/
Avery,Try Teens,2011-10-05,https://web.archive.org/web/20111008112938im_/http://tryteens.com/img/prew_add/185/mega.jpg,https://web.archive.org/web/20111008112938/http://teencoreclub.com/
Avery,Try Teens,2011-11-22,https://web.archive.org/web/20111126062028im_/http://tryteens.com/img/prew_add/190/mega.jpg,https://web.archive.org/web/20111126062028/http://teencoreclub.com/
Avery,White Teens Black Cocks,2011-10-26,https://web.archive.org/web/20111101022035im_/http://whiteteensblackcocks.com/img/prew_add/140/mega.jpg,https://web.archive.org/web/20111101022035/http://teencoreclub.com/
Avina,Fab Sluts,2014-12-10,https://web.archive.org/web/20141211105443im_/http://fabsluts.com/img/prew_add/199/mega.jpg,https://web.archive.org/web/20141211105443/http://teencoreclub.com/
Avina,Hardcore Youth,2012-03-29,https://web.archive.org/web/20120408064844im_/http://hardcoreyouth.com/img/prew_add/104/mega.jpg,https://web.archive.org/web/20120408064844/http://teencoreclub.com/
Avina,Hardcore Youth,2012-07-19,https://web.archive.org/web/20120721063226im_/http://hardcoreyouth.com/img/prew_add/109/mega.jpg,https://web.archive.org/web/20120721063226/http://teencoreclub.com/
Avina,Hardcore Youth,2012-10-10,https://web.archive.org/web/20121103201129im_/http://hardcoreyouth.com/img/prew_add/126/mega.jpg,https://web.archive.org/web/20121103201129/http://teencoreclub.com/
Avina,Teens Natural Way,2012-08-16,https://web.archive.org/web/20120831112609im_/http://teensnaturalway.com/img/prew_add/016/mega.jpg,https://web.archive.org/web/20120831112609/http://teencoreclub.com/
Bamba,Fab Sluts,2014-11-21,https://web.archive.org/web/20141125223048im_/http://fabsluts.com/img/prew_add/121/mega.jpg,https://web.archive.org/web/20141125223048/http://teencoreclub.com/
Barbara,Bang Teen Pussy,2013-05-03,https://web.archive.org/web/20130622000259im_/http://bangteenpussy.com/img/prew_add/014/mega.jpg,https://web.archive.org/web/20130622000259/http://teencoreclub.com/
Barbie,Bang Teen Pussy,2013-08-01,https://web.archive.org/web/20130805070937im_/http://bangteenpussy.com/img/prew_add/021/mega.jpg,https://web.archive.org/web/20130805070937/http://teencoreclub.com/
Beatrice,Hardcore Youth,2014-05-05,https://web.archive.org/web/20140511062905im_/http://hardcoreyouth.com/img/prew_add/179/mega.jpg,https://web.archive.org/web/20140511062905/http://teencoreclub.com/
Beatris,Hardcore Youth,2011-10-07,https://web.archive.org/web/20111008112938im_/http://hardcoreyouth.com/img/prew_add/075/mega.jpg,https://web.archive.org/web/20111008112938/http://teencoreclub.com/
Becca,Teens Try Blacks,2013-10-31,https://web.archive.org/web/20131110054019im_/http://teenstryblacks.com/img/prew_add/031/mega.jpg,https://web.archive.org/web/20131110054019/http://teencoreclub.com/
Bella,Ass Teen Mouth,2010-09-10,https://web.archive.org/web/20100912044118im_/http://assteenmouth.com/img/prew_add/082/mega.jpg,https://web.archive.org/web/20100912044118/http://teencoreclub.com/
Bella,Double Teamed Teens,2010-08-27,https://web.archive.org/web/20100828170543im_/http://doubleteamedteens.com/img/prew_add/057/mega.jpg,https://web.archive.org/web/20100828170543/http://teencoreclub.com/
Bella,Try Teens,2010-08-30,https://web.archive.org/web/20100901102334im_/http://tryteens.com/img/prew_add/167/mega.jpg,https://web.archive.org/web/20100901102334/http://teencoreclub.com/
Bella,Young Throats,2010-10-05,https://web.archive.org/web/20101017175518im_/http://youngthroats.com/img/prew_add/149/mega.jpg,https://web.archive.org/web/20101017175518/http://teencoreclub.com/
Bess,Brutal Invasion,2014-04-11,https://web.archive.org/web/20140425155532im_/http://brutalinvasion.com/img/prew_add/016/mega.jpg,https://web.archive.org/web/20140425155532/http://teencoreclub.com/
Bess,Dreams-HD,2014-10-07,https://web.archive.org/web/20141009143157im_/http://dreams-hd.com/img/prew_add/190/mega.jpg,https://web.archive.org/web/20141009143157/http://teencoreclub.com/
Bess,Dreams-HD,2014-09-30,https://web.archive.org/web/20141009143157im_/http://dreams-hd.com/img/prew_add/180/mega.jpg,https://web.archive.org/web/20141009143157/http://teencoreclub.com/
Bess,Hardcore Youth,2014-12-24,https://web.archive.org/web/20141225045130im_/http://hardcoreyouth.com/img/prew_add/194/mega.jpg,https://web.archive.org/web/20141225045130/http://teencoreclub.com/
Betsy,Hardcore Youth,2011-07-27,https://web.archive.org/web/20110804145906im_/http://hardcoreyouth.com/img/prew_add/061/mega.jpg,https://web.archive.org/web/20110804145906/http://teencoreclub.com/
Bianka,Bang Teen Pussy,2013-08-22,https://web.archive.org/web/20130905203134im_/http://bangteenpussy.com/img/prew_add/022/mega.jpg,https://web.archive.org/web/20130905203134/http://teencoreclub.com/
Bliss,Fab Sluts,2014-10-28,https://web.archive.org/web/20141029075211im_/http://fabsluts.com/img/prew_add/099/mega.jpg,https://web.archive.org/web/20141029075211/http://teencoreclub.com/
Bliss,Teens Try Blacks,2013-07-17,https://web.archive.org/web/20130718234104im_/http://teenstryblacks.com/img/prew_add/025/mega.jpg,https://web.archive.org/web/20130718234104/http://teencoreclub.com/
Bonny,Hardcore Youth,2010-08-10,https://web.archive.org/web/20100812024151im_/http://hardcoreyouth.com/img/prew_add/019/mega.jpg,https://web.archive.org/web/20100812024151/http://teencoreclub.com/
Brandi,Analyzed Girls,2010-12-28,https://web.archive.org/web/20110106033743im_/http://analyzedgirls.com/img/prew_add/028/mega.jpg,https://web.archive.org/web/20110106033743/http://teencoreclub.com/
Brea,Ass Teen Mouth,2009-05-21,https://web.archive.org/web/20090522023108im_/http://assteenmouth.com/img/prew_add/049/mega.jpg,https://web.archive.org/web/20090522023108/http://teencoreclub.com/
Brea,Double Teamed Teens,2009-07-16,https://web.archive.org/web/20090720041353im_/http://doubleteamedteens.com/img/prew_add/033/mega.jpg,https://web.archive.org/web/20090720041353/http://teencoreclub.com/
Brea,Young Throats,2009-05-12,https://web.archive.org/web/20090522023108im_/http://youngthroats.com/img/prew_add/0125/mega.jpg,https://web.archive.org/web/20090522023108/http://teencoreclub.com/
Brenda,Young Throats,2008-09-29,https://web.archive.org/web/20090330015443im_/http://youngthroats.com/img/prew_add/031/mega.jpg,https://web.archive.org/web/20090330015443/http://teencoreclub.com/
Britt Shields,Brutal Invasion,2014-04-18,https://web.archive.org/web/20140425155532im_/http://brutalinvasion.com/img/prew_add/015/mega.jpg,https://web.archive.org/web/20140425155532/http://teencoreclub.com/
Brooklyn,Ass Teen Mouth,2011-03-24,https://web.archive.org/web/20110406002902im_/http://assteenmouth.com/img/prew_add/096/mega.jpg,https://web.archive.org/web/20110406002902/http://teencoreclub.com/
Brooklyn,Double Teamed Teens,2011-05-25,https://web.archive.org/web/20110601082038im_/http://doubleteamedteens.com/img/prew_add/067/mega.jpg,https://web.archive.org/web/20110601082038/http://teencoreclub.com/
Brooklyn,Fab Sluts,2014-11-28,https://web.archive.org/web/20141202181552im_/http://fabsluts.com/img/prew_add/144/mega.jpg,https://web.archive.org/web/20141202181552/http://teencoreclub.com/
Brooklyn,Try Teens,2011-04-07,https://web.archive.org/web/20110408153123im_/http://tryteens.com/img/prew_add/179/mega.jpg,https://web.archive.org/web/20110408153123/http://teencoreclub.com/
Brooklyn,White Teens Black Cocks,2011-05-11,https://web.archive.org/web/20110519165817im_/http://whiteteensblackcocks.com/img/prew_add/133/mega.jpg,https://web.archive.org/web/20110519165817/http://teencoreclub.com/
Brooklyn,Young Throats,2011-03-03,https://web.archive.org/web/20110311194744im_/http://youngthroats.com/img/prew_add/161/mega.jpg,https://web.archive.org/web/20110311194744/http://teencoreclub.com/
